platform,komentar,clean,stopword,stemming,sentimen
YouTube,aku nonton ini ngulang 4× KARENA SERUUU BGTTTT,aku nonton ini ngulang  karena seruuu bgtttt,nonton ngulang seruuu bgtttt,nonton ngulang seruuu bgtttt,positif
YouTube,Aku pernah nonton itu😅,aku pernah nonton itu,nonton,nonton,netral
YouTube,Cikal bakal meledak nya Agak Laen 2😂😅,cikal bakal meledak nya agak laen ,cikal meledak nya laen,cikal ledak nya laen,netral
YouTube,"Walaupun orang2 bilang film ke 2 lebih lucu, tapi menurutku film pertama ini paling lucu",walaupun orang bilang film ke  lebih lucu tapi menurutku film pertama ini paling lucu,orang bilang film lucu menurutku film lucu,orang bilang film lucu turut film lucu,positif
YouTube,Agak laen kau agak laen bapak my agak lagi kau sekeluarga 😂😂😂,agak laen kau agak laen bapak my agak lagi kau sekeluarga ,laen kau laen my kau sekeluarga,laen kau laen my kau keluarga,netral
YouTube,Bikin film Batak bang,bikin film batak bang,bikin film batak bang,bikin film batak bang,netral
YouTube,Rumah orang miskin!! 😂😂,rumah orang miskin ,rumah orang miskin,rumah orang miskin,netral
YouTube,Emang agak Laen,emang agak laen,emang laen,emang laen,netral
YouTube,film nya baguss bngttt,film nya baguss bngttt,film nya baguss bngttt,film nya baguss bngttt,positif
YouTube,udah nonton dan emng seseru itu lohh,udah nonton dan emng seseru itu lohh,udah nonton emng seseru lohh,udah nonton emng seru lohh,positif
YouTube,Komedy hororr keren🎉,komedy hororr keren,komedy hororr keren,komedy hororr keren,positif
YouTube,"Ugh.. Film Agak Laen Tuh JELEK Banget

THIS MOVIE IS RUINED MY LIFE
MY SLASHER MOVIE
MY BOLLYWOOD MOVIE
THIS MOVIE IS SUCKS","ugh film agak laen tuh jelek banget

this movie is ruined my life
my slasher movie
my bollywood movie
this movie is sucks",ugh film laen tuh jelek banget this movie is ruined my life my slasher movie my bollywood movie this movie is sucks,ugh film laen tuh jelek banget this movie is ruined my life my slasher movie my bollywood movie this movie is sucks,negatif
YouTube,Tisa biani maen di kkn & agak laen jadi film terlaris di indonesia top 1 & 2,tisa biani maen di kkn  agak laen jadi film terlaris di indonesia top   ,tisa biani maen kkn laen film terlaris indonesia top,tisa biani maen kkn laen film laris indonesia top,netral
YouTube,"Aku baru nonton 😭 padahal suka bgt nonton agak laen. Tp filmnya baru ku tonton. Lucu bgt paraaaah, nontonnya nangis berkali2, ketawa berkali2,oki bikin nangis krn kaitannya tntg ibu, jegel sampe ending pun BTS nya bikin ngakak yg dia jalan kemana tau 🤣 smoga agak laen 2 bisa ku tonton lgsg di cinema",aku baru nonton  padahal suka bgt nonton agak laen tp filmnya baru ku tonton lucu bgt paraaaah nontonnya nangis berkali ketawa berkalioki bikin nangis krn kaitannya tntg ibu jegel sampe ending pun bts nya bikin ngakak yg dia jalan kemana tau  smoga agak laen  bisa ku tonton lgsg di cinema,nonton suka bgt nonton laen tp filmnya ku tonton lucu bgt paraaaah nontonnya nangis berkali ketawa berkalioki bikin nangis krn kaitannya tntg jegel sampe ending bts nya bikin ngakak yg jalan kemana tau smoga laen ku tonton lgsg cinema,nonton suka bgt nonton laen tp film ku tonton lucu bgt paraaaah nontonnya nang kali ketawa berkalioki bikin nang krn kait tntg jegel sampe ending bts nya bikin ngakak yg jalan mana tau smoga laen ku tonton lgsg cema,positif
YouTube,Lagian udh tau pnya riwayat di jantung ngpain ke rumh hantu😭😭😭😭😭,lagian udh tau pnya riwayat di jantung ngpain ke rumh hantu,udh tau pnya riwayat jantung ngpain rumh hantu,udh tau pnya riwayat jantung ngpain rumh hantu,netral
YouTube,baru nonton di netflix padahal udah dari dulu nonton podcast agak laen hahahha alhamdulillah engga nonton trailer ini jadinya lebih seruuu.,baru nonton di netflix padahal udah dari dulu nonton podcast agak laen hahahha alhamdulillah engga nonton trailer ini jadinya lebih seruuu,nonton netflix udah nonton podcast laen hahahha alhamdulillah engga nonton trailer seruuu,nonton netflix udah nonton podcast laen hahahha alhamdulillah engga nonton trailer seruuu,positif
YouTube,Nahhh nih hantu gampang di lawan,nahhh nih hantu gampang di lawan,nahhh nih hantu gampang lawan,nahhh nih hantu gampang lawan,netral
YouTube,😂🤣🤣🤣👍👍,,,,netral
