platform,komentar
YouTube,aku nonton ini ngulang 4× KARENA SERUUU BGTTTT
YouTube,Aku pernah nonton itu😅
YouTube,Cikal bakal meledak nya Agak Laen 2😂😅
YouTube,"Walaupun orang2 bilang film ke 2 lebih lucu, tapi menurutku film pertama ini paling lucu"
YouTube,Agak laen kau agak laen bapak my agak lagi kau sekeluarga 😂😂😂
YouTube,Bikin film Batak bang
YouTube,Rumah orang miskin!! 😂😂
YouTube,Emang agak Laen
YouTube,film nya baguss bngttt
YouTube,udah nonton dan emng seseru itu lohh
YouTube,Komedy hororr keren🎉
YouTube,"Ugh.. Film Agak Laen Tuh JELEK Banget

THIS MOVIE IS RUINED MY LIFE
MY SLASHER MOVIE
MY BOLLYWOOD MOVIE
THIS MOVIE IS SUCKS"
YouTube,Tisa biani maen di kkn & agak laen jadi film terlaris di indonesia top 1 & 2
YouTube,"Aku baru nonton 😭 padahal suka bgt nonton agak laen. Tp filmnya baru ku tonton. Lucu bgt paraaaah, nontonnya nangis berkali2, ketawa berkali2,oki bikin nangis krn kaitannya tntg ibu, jegel sampe ending pun BTS nya bikin ngakak yg dia jalan kemana tau 🤣 smoga agak laen 2 bisa ku tonton lgsg di cinema"
YouTube,Lagian udh tau pnya riwayat di jantung ngpain ke rumh hantu😭😭😭😭😭
YouTube,baru nonton di netflix padahal udah dari dulu nonton podcast agak laen hahahha alhamdulillah engga nonton trailer ini jadinya lebih seruuu.
YouTube,Nahhh nih hantu gampang di lawan
YouTube,😂🤣🤣🤣👍👍
YouTube,"Masih blm menarik minat saya nonton komedi indonesia.
Thailand masih juara 🥉 klo soal lucu,
Korea jg banyak Yg lucu"
YouTube,"For me cite ni best. Jalan cite tak meleret. Pelakon2 pun mmg kelakor. Spontan je kelakor dia. Especially yg botak tu. Suka lakonan dia. TP lawaknya biasa-biasa je. I dont know why, mmg x gelak langsung tengok cite ni😅 Ade a few of scene je yg lawak tp tak de la sampai nak ketawa guling2. Ntah la mungkin urat gelak ak dah putus kut😂 Overall ok la still worth watching. Ending pun ok. 06/10✨"
YouTube,skrg jadi 2 dan 3 karena disalip jumbo
YouTube,"Gpp bang, gw yg udh nonton di bioskop ngakak abis sama film ini. Padahal gw orangnya sering skeptis sama film2 buatan Indonesia"
YouTube,"@abdullahryadz2960  semoga aja ya, nti saya coba 👍"
YouTube,Seru banget film agak laen😊
YouTube,Comment est ce film ?
YouTube,Bagus❤❤❤❤❤❤❤❤❤sekali
YouTube,😮 lebih ke sarkas sih :)
YouTube,Tapi lebih ke sarkas sih :)
